model,runtime_s,ndcg_10,spread,std_dev,top_score
"MiniLM L6  — Fast, CPU-friendly, 384-dim",10.8,0.9306,0.4972,0.0936,0.4782
"BGE Small  — Strong retrieval, 384-dim",13.8,0.9808,0.264,0.0502,0.7432
